,customer_age,vendor_count,product_count,is_chain,first_order,last_order,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken_Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle_Dishes,CUI_OTHER,CUI_Street_Food/Snacks,CUI_Thai,Total_Orders_Per_Client,mnt,mnt_Per_Order,Items_Per_Order,frq,rcn,activity,CUI_diversity,Loyalty,Recency_Score,Frequency_Score,Monetary_Score,CLV_Score,Orders_Night,Orders_Dawn,Orders_Morning,Orders_Afternoon,Orders_Evening,Orders_Dusk
CUI_Chicken_Dishes,0.0014500744543672545,0.2500692763130657,0.25647502912983,0.3102519313070031,-0.10327850938304704,0.08165783982414826,-0.0129041232702707,-0.05551664049266568,0.013636670094078658,0.001960867843601511,1.0,0.06640039579875838,-0.011595836486140418,-0.019287231601188056,0.028284295456456925,-0.014529095136730135,-0.008951200632033763,0.09143581957233958,0.08752463880084708,-0.04508082463439685,0.08760071027550055,0.2623966050771022,0.07794023244398636,-0.12927688984299693,0.010579532743698206,-0.05999268201708885,-0.0816578398241478,0.14903998152630862,0.2588202144713595,0.08938936182699588,0.07291817226118476,-0.05999268201708885,0.07794023244398851,0.02700024895541357,-0.011263026830841046,-0.041376841594691974,0.11360789108474384,0.21011909019547736,0.24521104013812758,0.19026673945655262
CUI_Chinese,-0.0058149116639553446,0.24833430898735295,0.3723324530987659,0.25930220072957993,-0.08564196969219473,0.07856911108761151,0.006955123045972863,0.03343264114407125,0.04412522104427024,0.01080472150309367,0.06640039579875838,1.0,0.009580330567933438,0.002272822472200675,-0.004752096043718866,-0.004004763207946241,0.043036269279409296,0.2100831367783691,0.09067357686635563,0.0033790672758505385,0.08369257602799816,0.2887800755393202,0.26825219364612213,-0.016617189810291057,0.0768240928970155,-0.03810728116280917,-0.07856911108761126,0.13205649193308633,0.20711431563948351,0.09802323149970703,0.07777605205429933,-0.03810728116280917,0.26825219364612274,0.09192215990775628,0.0371984933625144,0.029918797136703673,0.16481652527178206,0.18633372185801622,0.21593897611005647,0.2181587309806808
CUI_Desserts,-0.008316352537143287,0.14733916440912856,0.12641542040019169,0.07160565463797887,-0.043780722630800004,0.05202566531557136,0.028845748107385386,0.11689288812168351,0.076935182648329,-0.01376001037824802,-0.011595836486140418,0.009580330567933438,1.0,0.012016341029746276,-0.02588200147308614,-0.04542647748428401,0.026399319423405895,-0.012927403926424158,-0.02537971255500999,0.11078411409345772,-0.02438036136222304,0.11004036682996352,0.2134561873245621,0.0935638668782416,0.05680758586197292,-0.031186862257505988,-0.05202566531557099,0.07675955852971147,0.12188215789809435,0.0067729157388330755,0.04615377281896603,-0.031186862257505988,0.21345618732456434,0.060959861019422495,0.13017337879293187,0.20027806868574877,0.09651151613857227,0.07200016601378502,-0.0366001151809759,0.003628428020101608
CUI_Healthy,-0.007268897540737404,0.13889934852473937,0.1697378868034444,0.14237311404522968,-0.0581050542192711,0.07678297128600589,0.017099444659648227,0.038039480520485155,0.009771640562270102,0.063274148323094,-0.019287231601188056,0.002272822472200675,0.012016341029746276,1.0,0.0199113543287684,0.003454175321549672,0.05376971157576095,-0.008868996222605254,0.06693064759008721,0.004311694734781181,0.03396790283473569,0.17809550846368236,0.1940554015742685,0.009448262897613306,-0.00036626121370528296,-0.04394655671313966,-0.0767829712860057,0.1079076990294872,0.12728283925873776,0.11062504556303139,0.0663197150582376,-0.04394655671313966,0.19405540157426998,0.06161409042972208,0.08028357394057346,0.08381874919111598,0.19393174640247876,0.08567616784540671,0.08076685753291322,0.002141819029686402
CUI_Indian,-0.0058493034973455885,0.15360458777882216,0.23527489122714518,0.15520707081340793,-0.08343840309273672,0.07912576929406678,0.026942461224795586,-0.030958554196297686,-0.030530472856362453,0.05272452161058526,0.028284295456456925,-0.004752096043718866,-0.02588200147308614,0.0199113543287684,1.0,0.057251537160331586,0.025422023491462803,-0.00784586089987876,0.08924002640775242,-0.048095069326415316,0.0754744143828726,0.2246410290154639,0.18296434311477777,-0.008361834170940923,0.05838574132310364,-0.03977573929536825,-0.07912576929406633,0.13066973850147148,0.15707167176618825,0.14149625675146973,0.08079232627572887,-0.03977573929536825,0.18296434311478238,0.07272702977674066,-0.039023051774660596,-0.04801125599379048,0.09507566513932686,0.17881973542263066,0.24098399954834832,0.13515282584101115
CUI_Italian,0.0013340157961980845,0.11430720089963814,0.25994805886559114,0.050353310531825596,-0.11059734165247913,0.11323379946340315,0.09041432922186783,-0.06492120906106638,-0.07126645059358355,0.09415145243756515,-0.014529095136730135,-0.004004763207946241,-0.04542647748428401,0.003454175321549672,0.057251537160331586,1.0,0.020904360618238717,-0.029332181681623885,0.1071760749424521,-0.0570695859251083,0.07629664078907225,0.26234235939587974,0.2475522746784762,-0.025612249332286136,0.011521898373676535,-0.08089928634119452,-0.11323379946340255,0.17971764368256626,0.08594644818020192,0.28042080223405,0.09745024738712091,-0.08089928634119452,0.2475522746784794,0.06943441061049971,-0.07155286935922744,-0.060543436090341324,0.11520437146437301,0.2293804781360063,0.31846264551469816,0.05158848867114091
CUI_Japanese,0.0025346730272110068,0.22717112217805074,0.27860540402989586,0.18785564171919963,-0.09195508860004413,0.11155192602213403,0.05880928875826649,0.08544125617668367,0.00822945253505441,0.08037241846535527,-0.008951200632033763,0.043036269279409296,0.026399319423405895,0.05376971157576095,0.025422023491462803,0.020904360618238717,1.0,0.0057347471616169664,0.048028110222434056,0.04047359268122795,0.05151095325248563,0.25196120431777774,0.3455472600896839,0.07551946817992794,0.0702782395242511,-0.07072303651333181,-0.11155192602213337,0.16300043022544072,0.20752037965630887,0.12080657851257368,0.0958577784877556,-0.07072303651333181,0.34554726008968095,0.099043798332944,0.0586988032766565,0.1192276087778174,0.21321949380625602,0.15957073883528683,0.1549767182615427,0.014871095375905807
CUI_Noodle_Dishes,-0.0007501628713158006,0.21470700033380413,0.2842454970833939,0.27364484962505353,-0.08510230731217842,0.05552844736324624,-0.024633223055912114,-0.04137084177363196,0.02851838577180905,-0.006424786955743203,0.09143581957233958,0.2100831367783691,-0.012927403926424158,-0.008868996222605254,-0.00784586089987876,-0.029332181681623885,0.0057347471616169664,1.0,0.08858113010160551,-0.0353240284244087,0.03833443297370214,0.2249795259919251,0.1201575824529168,-0.06903809095931397,0.11432782967871881,-0.039854239375218474,-0.05552844736324598,0.11363854074629576,0.2009225395369813,0.0817997916750713,0.05036847095771919,-0.039854239375218474,0.12015758245291734,0.03551261143283666,0.0037895052787727127,-0.02645493933842473,0.11891495454616269,0.1641851435893909,0.1840002411538028,0.18824650293132342
CUI_OTHER,0.008167426728002648,0.35835017139390785,0.4484030606867998,0.38123113021706484,-0.13671837049994368,0.14001068317063858,0.08896583499036297,-0.042247152966337555,-0.0025602199527141275,0.20459505147224347,0.08752463880084708,0.09067357686635563,-0.02537971255500999,0.06693064759008721,0.08924002640775242,0.1071760749424521,0.048028110222434056,0.08858113010160551,1.0,-0.06241064707479361,0.15357295569676682,0.43535542677290934,0.321381859392419,-0.06472758669528947,0.07512193599367294,-0.06957275494323277,-0.14001068317063844,0.22218947350303456,0.3273728970642392,0.18286108826637706,0.1400292003890417,-0.06957275494323277,0.32138185939241676,0.1265852060708248,-0.05628088220087185,-0.03991632570952719,0.28931504604493335,0.3128373875284685,0.4195207418533374,0.1457970808719368
CUI_Street_Food/Snacks,0.004739088310226977,0.14236297751364443,0.17971264128151815,0.010849596497657576,-0.054204402645801474,0.06323181678337914,0.04028385579646353,0.1853704402231686,0.06236503112673086,-0.025219082215352268,-0.04508082463439685,0.0033790672758505385,0.11078411409345772,0.004311694734781181,-0.048095069326415316,-0.0570695859251083,0.04047359268122795,-0.0353240284244087,-0.06241064707479361,1.0,-0.0423726854058561,0.10310321995488846,0.424510225357545,0.38567357171761546,0.30736523234573937,-0.04524012566980542,-0.06323181678337887,0.0941142694892398,0.07653751667278223,0.013169664151400357,0.04839578546413025,-0.04524012566980542,0.424510225357548,0.10197178534777256,0.144193266406186,0.19288420238586285,0.11279000156585041,0.08537137123439055,-0.07294326406178983,-0.01124106465510157
